Transaction_ID,User_ID,Transaction_Amount,Transaction_Time,Merchant_ID,Merchant_Category,Device_Type,Location,IP_Address,Card_Type,Is_Fraud,Latitude,Longitude,User_Registration_Date,User_VPA,Mobile_Number,Email_ID,User_ID_Merchant_End
TXN00000,USER0007,3709.04,2025-05-05T03:56:41,MERCH032,clothing,mobile,North Judithbury,70.143.71.233,prepaid,0,41.629629,-9.094423,2023-07-04,jason74@okhdfcbank,0035624395873,ramirezrhonda@jacobs.com,MUSER2313
TXN00001,USER0190,4461.44,2025-04-16T21:35:32,MERCH012,travel,desktop,New Roberttown,65.178.195.236,debit,0,53.202255,69.550234,2024-05-24,jordanjohnny@okaxis,9232342108902,fmoore@bean-burke.com,MUSER7400
TXN00002,USER0056,1167.14,2025-04-19T23:35:29,MERCH078,electronics,tablet,Lake Debra,222.95.235.165,debit,0,10.5841025,116.954623,2022-09-09,tcox@okhdfcbank,1553334264335,christopher78@stein.com,MUSER3929
TXN00003,USER0180,2726.98,2025-04-25T10:10:37,MERCH029,entertainment,tablet,Lisatown,53.198.170.29,credit,0,-59.6771685,38.547513,2023-11-17,davisalexander@okaxis,2716073607763,nreyes@garrison-flowers.biz,MUSER5724
TXN00004,USER0002,3795.24,2025-02-23T22:58:27,MERCH021,restaurant,desktop,East Susan,152.80.186.159,credit,0,-5.042877,-144.857389,2024-01-16,markfigueroa@okaxis,6911289812317,loriwalton@martinez.org,MUSER2260
TXN00005,USER0056,4786.28,2025-01-19T18:43:51,MERCH044,electronics,mobile,Melanieview,39.253.38.222,credit,0,56.497316,79.937600,2023-12-15,julia98@okaxis,5633185748170,turnerkimberly@smith-hernandez.biz,MUSER2791
TXN00006,USER0089,3020.61,2025-03-15T12:05:53,MERCH006,restaurant,desktop,New Kellystad,210.57.203.186,prepaid,0,23.757931,-164.480973,2023-01-23,john43@oksbi,6661554164316,rodriguezjohn@lewis.com,MUSER3699
TXN00007,USER0097,398.61,2025-01-09T21:33:25,MERCH038,health,tablet,Port Keith,19.59.103.90,prepaid,0,37.467682,38.771560,2024-05-08,gmiller@okhdfcbank,0450232902822,dmiller@gmail.com,MUSER5521
TXN00008,USER0093,2888.87,2025-03-15T19:30:59,MERCH091,electronics,mobile,Shawnstad,101.107.68.129,prepaid,0,-23.8718155,160.129894,2024-03-23,crystalguzman@okhdfcbank,0093459626228,whitebonnie@jordan-bennett.com,MUSER2835
TXN00009,USER0075,4926.18,2025-02-21T20:12:24,MERCH030,health,mobile,New Cynthiaside,222.202.213.238,credit,0,-15.4464105,-54.511552,2024-02-23,willisrhonda@okhdfcbank,2512073465495,rbaldwin@yahoo.com,MUSER3424
TXN00010,USER0163,4171.38,2025-03-15T16:23:25,MERCH021,groceries,desktop,Veronicaside,35.148.124.195,debit,0,-51.1006075,-170.001942,2024-06-30,jamesgriffin@oksbi,0507026086982,palmermiguel@hotmail.com,MUSER9131
TXN00011,USER0180,4683.59,2025-02-14T11:26:28,MERCH083,electronics,tablet,Port Leslieview,84.35.174.181,prepaid,0,7.441537,-35.495968,2024-12-09,jonesamy@okaxis,1053161177687,acostabeth@hotmail.com,MUSER3465
TXN00012,USER0187,1227.83,2025-02-11T06:54:41,MERCH060,entertainment,desktop,Fostermouth,107.242.47.175,prepaid,0,37.5663745,117.466890,2024-03-11,kevin73@okhdfcbank,9047742585917,aaronbauer@acosta-madden.com,MUSER4346
TXN00013,USER0057,3424.65,2025-04-20T00:09:54,MERCH099,health,mobile,Juliechester,215.4.172.247,debit,0,8.7142625,134.699071,2023-01-05,bradleylee@oksbi,9323822311649,riversdebra@owens-casey.com,MUSER9530
TXN00014,USER0081,2008.82,2025-01-27T20:40:21,MERCH009,clothing,tablet,Daviston,74.61.37.32,prepaid,0,-7.275870,-125.502545,2024-05-25,patricia85@oksbi,3342457988942,nicholas74@gmail.com,MUSER1371
